,index,Rating,Id,Date,views,like,Title,Text
179,179,2,mberr***예매자,2020.10.26,조회 15,"공감 0
공감하기",극은 좋았는데 굉장히 실망스러웠던 점,극 정말 재밌었고 배우들 대부분이 정말정말 잘하고 좋았어요근데 한 분이 정말여기는 한국이고 한국어로 하는 한국인 대상 공연아니었나요한국말 못하는 배우가 어떻게 뭐라는지 하나도 안들리게 대사와 노래를 하면서도 무대에 설 수 있는지 이해가 안가네요한국어 잘 못한다고 이 배우한테만 특별히 프랑스인이라는 대사를 추가해주는 것도요마이클리씨가 말한 대사 중 제대로 들리는 건 영어단어 뿐이었어요  이라는 단어 말고는 뭐라는지 모르겠어서 알아듣느라 바쁘다가 왜 내가 돈주고 이렇게 까지 해야하나 싶었습니다한국인 배우가 딕션을 그런식으로 했다면 이런 대극장 뮤지컬에 올라가지도 못했을텐데사대주의도 아니고 왜 이 분만 이걸 용납하고 받아들이고 가야하는지 모르겠습니다자선봉사 하시는 거 아니고 돈받고 일하시는 프로 아닌가요 이 정도면 관객 기만이라고 밖에 안보여집니다교포라서 그렇다기엔 다른 교포들이나 외국인들 약간의 억양차이는 있어도 발음이 이정도는 아닙니다검색해보니까 마이클리씨 한국에 오신지도 꽤 되셨던데 더더욱 이해가 안가네요도저히 한국어 발음이 안되고 고칠 의지도 없으시다면 영어 쓸 수 있게 미국이나 영국 가서 무대 서시는게 맞다고 봅니다이정도로 한국어 안되는 배우를 무대에 시운 제작사도 반성해야하지 않을까 싶네요다른 배우들과 넘버들 다 정말 좋았어서 별 한 개하려다가 두 개 합니다이미 막공했으니 재연으로 돌아올때는 한국어 알아듣느라 고생하지는 않았으면 좋겠습니다
180,180,5,dlekdm***예매자,2020.10.26,조회 4,"공감 0
공감하기",즐겁게봤습니다,다음에또올라오길
181,181,5,11060***예매자,2020.10.26,조회 5,"공감 0
공감하기",뮤우지컬 뮤우지컬,너무 신나는 공연
182,182,3,ceojea1***예매자,2020.10.26,조회 7,"공감 0
공감하기",뮤지컬~뮤지컬~,가볍게 보기좋아요
183,183,5,uhuh***예매자,2020.10.26,조회 3,"공감 0
공감하기",진짜 재밌었어요 진짜,썸로 언제 다시 와요
184,184,5,11060***예매자,2020.10.26,조회 3,"공감 0
공감하기",너무 즐거웠어요,다음에도 꼭 돌아오길
185,185,5,redmoon***예매자,2020.10.26,조회 3,"공감 0
공감하기",넘버가 넘좋아요,넘버 중독성 엄청납니다
186,186,5,esse0***예매자,2020.10.26,조회 2,"공감 0
공감하기",썸씽로튼 보내서 아쉽네요,유쾌하고 즐거운 극
187,187,5,ddud***예매자,2020.10.26,조회 2,"공감 0
공감하기",세미막!!,소리 질러 세미막 전 제가 세미막까지 보러 갈 줄 몰랐어요 그래도 3층 끝자리에서라도 보고 싶었어요나중에 치이지 말고 공연은 미리미리 보자막공밖에 안 남았단 생각에 르네상스부터 괜히 눈물이 났습니다  전캐가 다 너무 사랑이었어요 
188,188,5,lyy4***예매자,2020.10.26,조회 3,"공감 0
공감하기",그래서 재연 어디쯤이라구요?,진짜 이시국만 아니면 환호할 노래 천지인데 너무 아쉽네요 코로나 끝나면 다시 온다고 했으니깐 꼭 와야돼요 이 캐슷 그대로 모든 캐들 다 사랑했습니다 진짜 앙들도 꼭 이대로 와주세요 특히 샤일록 클램팽경 절대 데려와
189,189,4,khg3***예매자,2020.10.26,조회 3,"공감 0
공감하기",재밋었어요,셰익스피어어 오 64년생 오 월드스타
